Node1,Node2,Correlation,Score
BAX,pEIF4EBP1,0.805479043,16.53481387
BCL2L11,CASP6,-0.877728025,13.31300931
BCL2L11,CASP7,-0.980127808,16.4714606
BCL2L11,MKI67,0.862534708,17.6912524
BCL2L11,CDKN1B,0.933052116,12.84517404
BCL2L11,pRPS6,0.876558547,17.98529038
BCL2L11,BIRC5,0.843367324,17.03797453
CASP6,MKI67,-0.730777648,14.81250472
CASP6,CDKN1B,-0.82176425,14.27043023
CASP6,pRPS6,-0.768364167,15.57997351
CASP7,CCND1,-0.686143948,14.01909487
CASP7,EGFR,-0.80217923,13.57949924
CASP7,MKI67,-0.802148198,16.30566892
CASP7,CDKN1B,-0.848626506,15.95740681
CASP7,pCDC25A,-0.832204487,14.70052206
CASP7,pBAD,-0.808976915,14.48596805
CASP7,pERBB3,-0.777514217,13.26978801
CASP7,pH3F3A,0.821060167,13.38309329
CASP7,pMTOR,-0.635532812,12.86753487
CASP7,pRPS6KB1,-0.931139473,18.81820051
CASP7,pPRKCA,0.836854308,13.52815102
CASP7,pAKT1S1,-0.788960534,16.01354178
CASP7,pPTEN,0.740818626,14.11112167
CASP7,pASAP2,0.735574513,12.80080629
CASP7,pRPS6,-0.780986011,15.88119513
CASP7,pSMAD1,0.873545173,14.90486029
CCND1,MKI67,0.635352654,12.45323162
CCND1,CDKN1B,0.751282528,15.44180616
CCND1,pRPS6,0.692804431,14.27717673
EGFR,pEIF4EBP1,0.701160856,14.39337789
EGFR,BIRC5,0.843849799,15.86201262
ERBB3,pASAP2,0.795452651,12.63649508
HMOX1,MKI67,-0.747655014,15.37025492
HMOX1,pRPS6,-0.824976743,16.96585291
MKI67,CDKN1B,0.882912902,18.05531956
MKI67,pACACA,0.765157525,14.86931534
MKI67,pCDC25A,0.688715091,14.06660063
MKI67,pBAD,0.984707138,19.10089574
MKI67,pBRAF,0.86782258,16.74345949
MKI67,pERBB3,0.775496741,14.93367925
MKI67,pFADD,0.867629961,17.52834897
MKI67,pFOXO3,0.902676854,17.69292042
MKI67,pMAP2K1,0.668749077,12.80013495
MKI67,pMTOR,0.882687584,18.02063005
MKI67,pRPS6KB1,0.859600973,16.65791009
MKI67,pRPS6KA1,-0.786510225,15.0794458
MKI67,pPKIA,-0.702268184,14.19761786
MKI67,pAKT1S1,0.797068711,16.31265239
MKI67,pRPS6,0.961855635,19.7214965
MKI67,pSGK1,0.922289632,18.50838333
MKI67,pSMAD1,-0.812239486,16.732542
MKI67,pSTAT5A,-0.645008729,13.10432396
MKI67,SOX2,-0.885156277,17.34950829
MKI67,BIRC5,0.931202818,18.79897329
CDKN1B,pCDC25A,0.876179259,12.73615339
CDKN1B,pBRAF,0.967842684,15.16702056
CDKN1B,pMTOR,0.840975484,17.12988153
CDKN1B,pAKT1S1,0.697491892,13.12482234
CDKN1B,pRPS6,0.963914323,19.71881159
pEIF4EBP1,pACACA,0.870236396,17.73381937
pEIF4EBP1,pPRKAB1,0.780240037,15.65827303
pEIF4EBP1,pERBB3,0.866472143,17.50453264
pEIF4EBP1,pFOXO3,0.644587632,13.24347471
pEIF4EBP1,pRPS6KB1,0.634466083,12.89476535
pEIF4EBP1,pPRKCA,-0.701577235,14.41436338
pEIF4EBP1,pAKT1S1,0.806596435,16.46340418
pEIF4EBP1,pRPS6KA3,0.909246089,18.33217856
pEIF4EBP1,pSMAD1,-0.802017251,16.47796924
pEIF4EBP1,pSKAP2,-0.838795218,16.88745667
pEIF4EBP1,pSTAT3,-0.877282658,17.78484701
pEIF4EBP1,pSTAT5A,-0.692744516,14.03615226
pACACA,pRPS6,0.628500501,12.84674583
pCDC25A,pRPS6,0.773432088,15.80254092
pBAD,pRPS6,0.958665297,19.56141092
pBAD,pRPS6,0.643359615,13.11549921
pBRAF,pRPS6,0.93712103,19.02444037
pFADD,pRPS6,0.870283798,17.5883157
pFOXO3,pRPS6,0.754055943,15.53943579
pFOXO3,BIRC5,0.952057621,17.91289538
pJAK1,pASAP2,0.914810868,12.45835081
pMAP2K1,pRPS6,0.771750363,15.54900589
pMTOR,pRPS6,0.905153816,18.48589945
pMTOR,BIRC5,0.712497906,14.3263264
pRPS6KB1,pRPS6,0.831655305,16.9540864
pRPS6KB1,pSTAT5A,-0.877918494,15.20888935
pRPS6KA1,pRPS6,-0.843332789,17.01837055
pPRKCA,BIRC5,-0.671113866,12.62695892
pAKT1S1,pRPS6,0.723491216,14.81211069
pAKT1S1,BIRC5,0.812540334,15.56611994
pRPS6,pSGK1,0.930336792,18.67666339
pRPS6,pSMAD1,-0.716981267,14.77540818
pRPS6,pSTAT5A,-0.652079248,13.25273189
pRPS6,SOX2,-0.831599518,17.13743846
pRPS6,BIRC5,0.811892855,16.39628908
pSMAD1,BIRC5,-0.882345281,16.75663603
pTSC2,BIRC5,-0.678014914,12.75680163
SOX2,BIRC5,-0.759160948,14.64577024
