Node1,Node2,Correlation,Score
BAX,EGFR,-0.95330459,19.70409544
BAX,pFOXO3,-0.956612316,19.78942322
BAX,pPRKCA,-0.974485725,20.15917015
BAX,pSMAD1,-0.9858241,20.39372692
BAX,pTSC2,-0.961039332,19.88100484
CASP9,CCND1,-0.9441139,19.54760667
CASP9,pBAD,-0.987286432,20.24109852
CASP9,pFOXO1,0.983066185,19.69452285
CASP9,pFOXO3,0.976601014,20.22024302
CASP9,pH3F3A,0.989813508,20.49380392
CASP9,pPRKCA,0.963791553,19.95502682
CASP9,pTSC2,0.97486895,20.18438113
CCND1,pEGFR,-0.947042279,19.55566067
EGFR,pMET,-0.992657679,19.91985498
EGFR,SOX2,0.940081463,19.44744975
ERBB3,MKI67,0.99541814,19.9347133
HMOX1,pAKT1S1,0.958530401,19.67619579
MKI67,pMTOR,0.952005465,19.43579882
MKI67,pRPS6,0.967115497,19.82934257
pEIF4EBP1,pERBB3,-0.991506661,20.03048899
pEIF4EBP1,pGSK3A,-0.998441166,20.20792151
pBAD,pFOXO3,-0.975172203,19.99273564
pBAD,pH3F3A,-0.988657033,20.26919823
pBAD,pPRKCA,-0.953459554,19.54758836
pBAD,pTSC2,-0.966960794,19.82438739
pBRAF,pMTOR,0.980870339,19.82631997
pEGFR,pKDR,0.952078434,19.49200052
pFOXO3,pH3F3A,0.996553433,20.63335212
pFOXO3,pPRKCA,0.996081729,20.62358563
pFOXO3,pSMAD1,0.97018155,20.08732986
pFOXO3,pTSC2,0.998990585,20.68381265
pH3F3A,pPRKCA,0.987041252,20.43640516
pH3F3A,pSMAD1,0.948676143,19.6420666
pH3F3A,pTSC2,0.994080239,20.58214534
pMTOR,pRPS6KB1,0.977448972,19.84025764
pPRKCA,pSMAD1,0.983440613,20.36185495
pPRKCA,pTSC2,0.99831777,20.66988221
pAKT1S1,pRPS6KA3,0.982894523,19.84101762
pRPS6,pSGK1,0.968979637,19.45242484
pSMAD1,pTSC2,0.976462255,20.21737006
