Node1,Node2,Correlation ,Score
BAX,HMOX1,0.546147282,11.27489999
BAX,CDKN1B,-0.742739193,14.15592339
BAX,pEIF4EBP1,0.69169389,14.19904071
BAX,pRPS6,-0.697975213,14.37136096
BCL2L11,HMOX1,-0.882974617,18.16493219
BCL2L11,CDKN1B,0.920528298,13.34025522
CASP6,MKI67,0.652999663,11.06255233
CASP6,pACACA,0.887815839,17.93940926
CASP6,pRAF1,0.828931121,11.73307414
CASP6,pRPS6,-0.973663291,19.74278464
CASP6,pKDR,0.729437033,10.77532402
CASP6,SOX2,0.933583383,14.19793613
CASP7,ERBB4,0.538366161,10.91856408
CASP7,MKI67,0.823612063,16.74197566
CASP7,pACACA,0.855096581,17.32786518
CASP7,pCDC25A,-0.648886042,13.14358894
CASP7,pBAD,0.735661749,14.88151584
CASP7,pRAF1,0.942294257,18.99543643
CASP7,pCREB1,0.581193493,11.74584045
CASP7,pFOXO3,0.680164771,13.89693006
CASP7,pPTEN,0.527132544,10.56795927
CASP7,pRPS6,-0.910782864,18.52058831
CASP7,pSTAT3,0.760903708,15.33883699
CASP7,pTSC2,0.586229803,11.97767793
CASP7,SOX2,0.857083144,17.51167512
CASP9,pEIF4EBP1,-0.675833313,13.88543768
CCND1,HMOX1,-0.681669081,14.08475557
ERBB4,pEIF4EBP1,-0.780691602,15.92210293
HMOX1,CDKN1A,-0.965188064,19.69982425
HMOX1,CDKN1B,-0.817431057,16.76663458
HMOX1,pEIF4EBP1,0.724696283,14.78371905
HMOX1,pPRKAA1,0.559083061,11.38677889
HMOX1,pPRKAB1,-0.662182663,13.36618267
HMOX1,pCDC25A,-0.92283326,18.90522556
HMOX1,pBAD,-0.754623398,15.42473708
HMOX1,pBRAF,-0.805399824,16.39415536
HMOX1,pRAF1,0.547997727,11.17321261
HMOX1,pCREB1,0.927200857,18.95227407
HMOX1,pMAPK3,0.892107895,18.43287602
HMOX1,pPTK2,0.713213299,14.40838645
HMOX1,pGSK3A,0.887054361,18.14841952
HMOX1,pSTK11,-0.600091948,11.94245508
HMOX1,pMAP2K1,-0.808907105,16.34159961
HMOX1,pMTOR,-0.841748814,17.23673859
HMOX1,pMAPK14,0.919864913,18.95532751
HMOX1,pRPS6KB1,-0.65538909,13.39635696
HMOX1,pPKIA,-0.715545745,14.51016604
HMOX1,pAKT1S1,-0.730684079,14.99908921
HMOX1,pRET,0.94412943,19.05728907
HMOX1,pRPS6,-0.63615228,13.08263063
HMOX1,pMAPK8,0.936268714,19.01150983
HMOX1,pSGK1,-0.718328144,14.45960172
HMOX1,pSTAT5A,0.759253651,15.47219487
HMOX1,pTSC2,-0.523977179,10.82650028
MKI67,pEIF4EBP1,-0.704515137,10.48103807
MKI67,pACACA,0.833349241,11.89172441
MKI67,pRPS6,-0.540445576,11.08107615
MKI67,BIRC5,0.904178928,12.59713472
CDKN1A,pRPS6,0.604381144,11.0056974
CDKN1B,pBAD,0.953077693,17.68333386
CDKN1B,pBRAF,0.926496051,11.32216924
CDKN1B,pPKIA,0.89540645,13.02481963
pEIF4EBP1,pPRKAA1,0.674924171,13.66746871
pEIF4EBP1,pPRKAB1,0.5371952,10.78071966
pEIF4EBP1,pEGFR,-0.672801688,13.7857988
pEIF4EBP1,pERBB3,0.577744482,11.67163564
pEIF4EBP1,pNFKB1,0.571924763,11.48743284
pEIF4EBP1,pRPS6KA1,0.869524607,17.49287966
pEIF4EBP1,pAKT1S1,0.675033785,13.77808476
pEIF4EBP1,pASAP2,-0.531152782,10.86522038
pEIF4EBP1,pRPS6KA3,0.662109717,13.34942619
pEIF4EBP1,pSKAP2,-0.821559878,16.54045772
pEIF4EBP1,pSRC,-0.762048186,15.55413184
pEIF4EBP1,pSTAT3,-0.586189166,11.88360962
pEIF4EBP1,pSTAT5A,-0.528328706,10.70481541
pEIF4EBP1,pBAD,-0.752829594,10.62478339
pEIF4EBP1,pRPS6KB1,-0.99411554,10.63546511
pACACA,pBAD,0.824878903,14.26451961
pACACA,pRPS6,-0.779539117,13.94128434
pADD1,pRPS6,0.728209053,13.31572707
pPRKAA1,pBAD,-0.946467163,10.86391431
pCDC25A,pRPS6,0.767220229,13.76419891
pKIT,pRPS6,0.625348866,11.10122194
pRAF1,pRPS6,-0.861524405,15.50087303
pCREB1,pRPS6,-0.760223298,14.01221615
pGSK3A,pRPS6,-0.669670944,11.72407104
pRET,pRPS6,-0.619871239,10.75188434
pRPS6KA3,pRPS6,-0.727047992,14.70389327
pRPS6,SOX2,-0.886334508,16.36321895
