Node1,Node2,Correlation,Score
BAX,CDKN1B,0.978966355,12.20693216
BCL2L11,CDKN1B,0.795356624,10.44158864
CASP6,HMOX1,0.987732187,7.340631908
CASP7,HMOX1,0.965399898,9.830364918
CASP9,CDKN1B,-0.845495767,9.304926189
CCND1,CDKN1B,0.936129537,11.6926183
EGFR,CDKN1B,0.546505846,6.065855394
ERBB4,CDKN1B,0.862428706,10.18454657
HMOX1,MKI67,-0.789297419,6.063411112
HMOX1,pEIF4EBP1,-0.765803282,6.008830739
HMOX1,pADD1,0.954345496,6.232098058
HMOX1,pRAF1,0.955345597,8.45573442
HMOX1,pCREB1,0.801513119,6.32460324
HMOX1,pEGFR,0.989062726,6.619077131
HMOX1,pMAPK3,0.96021645,5.864209813
HMOX1,pGSK3A,0.951362868,9.160508467
HMOX1,pMET,0.898923719,5.942509052
HMOX1,pRET,0.789472483,5.989561404
HMOX1,pSKAP2,0.711198252,6.046935992
HMOX1,pSTAT3,0.924450847,5.887561983
HMOX1,pSTAT5A,0.899514345,6.334197605
MKI67,pSKAP2,-0.930150367,6.483431238
MKI67,BIRC5,-0.944409361,5.875389885
CDKN1B,pEIF4EBP1,0.536853908,7.683808221
CDKN1B,pPRKAA1,-0.761274752,8.217202532
CDKN1B,pBRAF,0.552667904,6.539128351
CDKN1B,pKIT,0.535727165,5.78706266
CDKN1B,pJAK1,-0.626144959,7.227585478
CDKN1B,pMTOR,0.963156895,11.34148908
CDKN1B,pRPS6KA1,-0.577821419,6.117104764
CDKN1B,pASAP2,-0.64336601,7.31986182
CDKN1B,pRPS6KA3,0.553380033,5.923455452
CDKN1B,pRPS6,-0.765588026,10.73695469
CDKN1B,pMAPK8,-0.585408031,6.241661316
CDKN1B,pSHC1,-0.74161591,7.876466273
CDKN1B,pSMAD1,0.898807547,10.2471516
CDKN1B,pVAV3,0.596571613,6.360057695
CDKN1B,pKDR,-0.625890491,6.790886483
CDKN1B,SOX2,0.810019486,8.986578437
pEIF4EBP1,pCDC25A,0.937361927,9.435916205
pEIF4EBP1,pBAD,0.734197199,7.722749195
pEIF4EBP1,pNFKB1,0.847513733,9.339669763
pEIF4EBP1,pAKT1S1,0.88609641,8.733427865
pEIF4EBP1,pRPS6KA3,0.652525517,8.814254835
pEIF4EBP1,BIRC5,0.663298738,5.873461383
pACACA,pRAF1,0.917052595,6.158412361
pRAF1,pMAPK3,0.90359173,6.967399588
pMAPK3,pGSK3A,0.875685039,5.934462541
pGSK3A,pSRC,0.654881933,5.795169783
pJAK1,pRPS6,0.957411246,6.387062633
pRPS6,pSMAD1,-0.958656724,6.277944756
