Node1,Node2,Corelation,Score
BAX,pEIF4EBP1,-0.536785121,10.8574966
BAX,pRPS6,-0.790694481,10.98523941
BCL2L11,pRPS6KB1,0.852424393,10.63499092
CASP9,MKI67,-0.912557933,9.398644769
CASP9,pEIF4EBP1,0.540240847,10.93697303
CCND1,CDKN1A,0.94867999,16.19140035
CCND1,CDKN1B,0.519524786,9.267243423
CCND1,pEIF4EBP1,-0.453801477,9.18704044
CCND1,pMAPK14,0.94192429,8.403994808
CCND1,pASAP2,-0.921253017,8.154431694
CCND1,pRPS6,-0.676472236,9.841861566
CCND1,pSHC1,-0.866775102,8.991200174
EGFR,pCDC25A,0.883104534,9.437007727
EGFR,pRPS6KB1,0.704289903,8.455670979
HMOX1,CDKN1A,0.892004578,9.300723125
MKI67,CDKN1B,-0.621288405,10.98828669
MKI67,pCDC25A,0.944273162,13.57249811
MKI67,pBAD,0.869204348,8.908668337
MKI67,pBRAF,0.93980343,9.564124784
MKI67,pRAF1,0.989916413,9.949329135
MKI67,pCREB1,0.844758751,9.338048708
MKI67,pGSK3A,0.806543978,8.231920696
MKI67,pPTEN,0.850473523,8.919691066
MKI67,pRPS6KA3,-0.910441975,9.038718403
MKI67,pSMAD1,0.784951,8.188327677
MKI67,pSTAT5A,-0.925549929,9.790300559
CDKN1A,pMTOR,0.777641546,10.5126902
CDKN1A,pMAPK14,0.825178555,8.337971499
CDKN1A,pASAP2,-0.848935323,8.274488404
CDKN1B,pEIF4EBP1,0.779611148,12.51439593
CDKN1B,pBRAF,-0.76290783,8.270380605
CDKN1B,pMTOR,0.526488128,8.18024815
pEIF4EBP1,pADD1,-0.672009419,13.2839483
pEIF4EBP1,pPRKAA1,0.788651012,15.73307247
pEIF4EBP1,pPRKAB1,-0.750075585,14.82712147
pEIF4EBP1,pBAD,0.413427383,8.285771452
pEIF4EBP1,pBRAF,-0.550512749,10.97599374
pEIF4EBP1,pCREB1,-0.654641786,13.1077456
pEIF4EBP1,pGSK3A,-0.800643137,16.04621832
pEIF4EBP1,pNFKB1,0.729887527,14.44048639
pEIF4EBP1,pMAPK14,-0.450335555,9.091872726
pEIF4EBP1,pRPS6KB1,0.603064089,12.07501694
pEIF4EBP1,pAKT1S1,0.549900933,11.05846696
pEIF4EBP1,pPTEN,-0.535054128,10.6266698
pEIF4EBP1,pASAP2,0.471207491,9.497136547
pEIF4EBP1,pRPS6,0.925697909,18.65069705
pEIF4EBP1,pMAPK8,0.789270449,15.69707152
pEIF4EBP1,pSGK1,-0.463242506,9.131429705
pEIF4EBP1,pSKAP2,0.48716865,9.661509728
pEIF4EBP1,pSRC,0.58702723,11.80507405
pEIF4EBP1,pSTAT3,0.716336343,14.30639946
pEIF4EBP1,BIRC5,0.752029608,14.91422195
pPRKAA1,pRPS6KB1,0.930542188,12.07340646
pPRKAA1,pRPS6,0.737180154,9.874665767
pPRKAB1,pRPS6KB1,-0.869096426,11.26285707
pCDC25A,pBAD,0.872721447,11.03960078
pCDC25A,pRAF1,0.919192254,9.613572884
pCDC25A,pEGFR,0.815212879,8.753643704
pCDC25A,pGSK3A,0.786968138,8.277282593
pCDC25A,pH3F3A,0.931835824,9.996063125
pCDC25A,pSMAD1,0.938872245,10.04146289
pCDC25A,pSTAT5A,-0.756449798,8.195446229
pCDC25A,pTSC2,0.909667006,9.738175896
pBAD,pRPS6KB1,0.944398988,11.48469985
pBAD,pSRC,0.811674781,9.68863313
pBAD,pRPS6KB1,0.719776176,12.30791838
pKIT,pRPS6,-0.729783408,9.306747163
pERBB3,pRPS6KB1,0.870997941,10.45045558
pGSK3A,pRPS6,-0.757727884,9.64276126
pMAP2K1,pRPS6,-0.68175848,8.482646201
pMTOR,pSRC,0.861870418,9.279805056
pMAPK14,pRPS6,-0.683211815,8.772697315
pRPS6KB1,pAKT1S1,0.771635889,9.115954505
pRPS6KB1,pRPS6,0.549314808,8.855967852
pRPS6KB1,pSMAD1,0.653154932,8.296724844
pRPS6KB1,pSRC,0.913266057,17.39510186
pRPS6KB1,pSTAT3,0.925186167,10.80475592
pAKT1S1,pRPS6,0.720963905,9.447157168
pASAP2,pRPS6,0.592809543,8.511074704
pRET,pRPS6,0.606327763,8.259533437
pRPS6,pMAPK8,0.733893568,9.466825199
pRPS6,pSGK1,-0.595370553,8.345408395
pRPS6,BIRC5,0.736339261,9.415228593
pSRC,pSTAT3,0.981259236,8.966532572
pSRC,BIRC5,0.856371444,8.590186039
