Node1,Node2,Correlation,Score
BAX,pEIF4EBP1,0.836914785,12.90539922
BAX,pRPS6,0.501305931,9.203788705
BAX,pSGK1,0.868253308,9.107725116
BCL2L11,MKI67,0.939316795,10.54040707
BCL2L11,pEIF4EBP1,0.887763138,11.6039999
BCL2L11,pAKT1S1,0.840164524,12.02250053
BCL2L11,pRPS6,0.91503067,15.06915078
CASP6,pAKT1S1,0.633500109,10.01222298
CASP7,pEIF4EBP1,0.802129292,11.64227345
CASP7,pRET,0.903906944,10.33284872
CASP7,pRPS6,0.793743606,13.52217475
CASP9,pEIF4EBP1,-0.85137894,11.56907358
CASP9,pAKT1S1,-0.710095508,10.55973185
CASP9,pRPS6,-0.777756741,13.0772111
CCND1,pEIF4EBP1,0.831656671,10.99617543
EGFR,pEIF4EBP1,0.940205163,12.40139253
EGFR,pRPS6,0.812610522,13.43041352
ERBB3,MKI67,0.907719722,13.57911219
ERBB3,pRPS6,0.944941493,15.54913682
ERBB4,pEIF4EBP1,0.973214585,12.80874323
ERBB4,pRPS6,0.802234442,13.07631105
HMOX1,pEIF4EBP1,0.815527109,13.3833971
MKI67,pEIF4EBP1,0.937269644,15.90286856
MKI67,pAKT1S1,0.608057518,9.821306874
MKI67,pRET,0.905328488,10.91461296
MKI67,pRPS6,0.792383454,16.24670786
MKI67,pSGK1,0.983718112,15.63046945
MKI67,BIRC5,0.963462298,11.68528883
CDKN1B,pBAD,-0.946988814,10.69476481
pEIF4EBP1,pPRKAB1,-0.947703192,14.14442872
pEIF4EBP1,pBAD,-0.751985508,14.5454233
pEIF4EBP1,pBAD,-0.575059232,11.68739205
pEIF4EBP1,pBRAF,0.811758085,13.0583517
pEIF4EBP1,pERBB3,0.718008234,10.46992766
pEIF4EBP1,pMTOR,-0.778367851,10.24275376
pEIF4EBP1,pNFKB1,0.571821011,10.24101422
pEIF4EBP1,pRPS6KB1,0.938730863,14.84276328
pEIF4EBP1,pPRKCA,0.757565001,10.02307195
pEIF4EBP1,pPTEN,0.707356112,9.553061208
pEIF4EBP1,pASAP2,0.875168696,11.44667649
pEIF4EBP1,pRET,0.940359881,12.87775496
pEIF4EBP1,pRPS6KA3,0.857776742,14.35527424
pEIF4EBP1,pRPS6,0.873597795,16.2521044
pEIF4EBP1,pSGK1,0.94575175,12.4196584
pEIF4EBP1,pSMAD1,0.807735077,10.64049137
pEIF4EBP1,pSRC,0.849183841,11.17835924
pEIF4EBP1,pSTAT5A,0.90906545,13.1554632
pEIF4EBP1,pKDR,-0.94489043,12.30165993
pEIF4EBP1,SOX2,0.978750764,13.05883686
pEIF4EBP1,BIRC5,0.994870006,13.38455374
pEIF4EBP1,pRPS6,0.607830009,9.839593577
pPRKAB1,pRPS6,-0.783807328,12.76867201
pBRAF,pRPS6,0.613811605,10.22095016
pKIT,pRPS6,-0.679284211,11.08737685
pCREB1,pRPS6,-0.709576137,11.52251343
pERBB2,pAKT1S1,0.865816102,11.49238408
pERBB2,pRPS6,0.992090521,15.86079504
pERBB3,pAKT1S1,0.860611694,14.05228711
pPTK2,pAKT1S1,-0.745726193,9.971648509
pGSK3A,pAKT1S1,-0.676699125,9.52988572
pGSK3A,pRPS6,-0.74453502,12.38458575
pMTOR,pRPS6,-0.768258587,12.57393068
pNFKB1,pAKT1S1,0.790759591,12.66080134
pNFKB1,pRPS6,0.874175988,14.37531971
pMAPK14,pAKT1S1,-0.684389666,9.67404435
pMAPK14,pRPS6,-0.648856568,10.64243872
pRPS6KB1,pAKT1S1,0.650527886,9.455869171
pRPS6KB1,pRPS6,0.852852275,13.97001372
pPRKCA,pAKT1S1,0.763685326,10.87408259
pPRKCA,pRPS6,0.734828961,12.21858819
pAKT1S1,pRET,0.736848128,10.43199875
pAKT1S1,pRPS6,0.850271683,16.55742866
pAKT1S1,pMAPK8,0.671237839,9.973133244
pAKT1S1,pSMAD1,0.847180623,11.63054385
pAKT1S1,pTSC2,0.794972088,10.96496435
pASAP2,pRPS6,0.890826457,14.7469933
pRET,pRPS6,0.937892612,15.07906468
pRPS6KA3,pRPS6,0.820947429,14.0201194
pRPS6,pSGK1,0.790410544,12.79793411
pRPS6,pSMAD1,0.896209983,14.75089902
pRPS6,pSRC,0.800627848,13.06445922
pRPS6,pSTAT5A,0.854698335,14.75474948
pRPS6,pKDR,-0.671149495,11.01838911
pRPS6,SOX2,0.873691736,14.45443797
pRPS6,BIRC5,0.877699449,14.10950423
