Node1,Node2,Correlation,Score
BAX,pEIF4EBP1,0.780129369,15.98258008
BAX,pBCL2,0.767821459,15.29484336
BAX,pKIT,-0.778305445,15.44721558
BAX,pEGFR,-0.797153499,16.41432956
BAX,pPTK2,-0.7909335,15.93594234
BAX,pFOXO3,-0.834573708,17.25974322
BAX,pNFKBIA,-0.79771644,15.83247028
BAX,pMAP2K1,-0.871096956,17.53349826
BAX,pRPS6KA1,-0.756647584,15.27373305
BAX,pTSC2,-0.844653686,17.46820634
BAX,pKDR,-0.95589274,19.53779433
BCL2L11,pMAPK3,0.921872586,15.13354847
CASP6,CCND1,0.947690038,19.26556374
CASP9,CCND1,0.852751275,17.65099865
CCND1,pACACA,0.80611083,16.50675888
CCND1,pPRKAB1,-0.770126535,15.53055976
CCND1,pBAD,0.849995169,17.36190057
CCND1,pBRAF,0.927940486,18.87647663
CCND1,pABL1,0.884746852,17.49857986
CCND1,pKIT,0.754077232,15.17569229
CCND1,pERBB3,0.904124694,18.32749317
CCND1,pJAK1,-0.798674107,16.03665248
CCND1,pMAPK14,-0.932109036,19.22303568
CCND1,pRPS6KB1,0.93095422,19.03528683
CCND1,pAKT1S1,0.971688777,19.94176617
EGFR,pRPS6,0.991581175,17.08946162
ERBB2,pSMAD1,0.831342438,16.59695425
ERBB3,MKI67,0.947363414,18.86904681
ERBB3,pMAPK3,0.970317868,15.20785623
ERBB3,pRPS6,0.761764161,15.19602699
ERBB4,pMAPK3,0.963649143,15.49887548
ERBB4,pSMAD1,0.747052635,15.32063665
MKI67,pEIF4EBP1,-0.855545001,17.42593289
MKI67,pMAPK3,0.857816699,17.6384654
MKI67,pPTEN,-0.917171525,18.42131995
MKI67,pRET,0.853203392,17.07191972
MKI67,pSGK1,0.920380008,18.35445377
MKI67,BIRC5,0.911306586,15.27322383
CDKN1A,pEIF4EBP1,0.956547358,19.1923272
CDKN1A,pRAF1,-0.902681277,18.16685604
CDKN1A,pH3F3A,-0.849100559,17.33924107
CDKN1A,pMTOR,-0.941325901,18.99513097
CDKN1A,pASAP2,-0.805838396,16.35355741
CDKN1A,pSMAD1,-0.749078812,15.28793243
CDKN1A,SOX2,-0.771906863,15.76289055
CDKN1B,pEIF4EBP1,0.757258462,15.38527488
pEIF4EBP1,pACACA,0.932661592,18.92281164
pEIF4EBP1,pEGFR,-0.809021533,16.52115884
pEIF4EBP1,pERBB3,0.811628116,16.29991856
pEIF4EBP1,pRPS6KB1,0.822835722,16.66989497
pEIF4EBP1,pSTAT5A,-0.776650092,15.68222236
pEIF4EBP1,SOX2,-0.77453035,15.76027135
pADD1,pSMAD1,0.889873156,17.92216275
pADD1,SOX2,0.775934735,15.63653616
pBAD,pERBB3,0.87146894,16.59730067
pBAD,pMAPK3,-0.924868236,15.13629528
pKIT,SOX2,0.784208367,15.58303875
pRAF1,pSMAD1,0.866653742,17.67773976
pRAF1,SOX2,0.79722342,16.27087928
pCREB1,pRPS6,0.952798637,15.21923517
pEGFR,pSMAD1,0.906465567,18.67612986
pEGFR,SOX2,0.876569136,18.07045596
pERBB3,pMAPK14,-0.969729451,16.12712968
pERBB3,pRPS6KB1,0.883826737,16.8148011
pMAPK3,pPTEN,-0.990540254,20.03624317
pMAPK3,pRET,0.977284452,15.52318126
pMAPK3,pRPS6,0.83982863,17.29465735
pMAPK3,pSKAP2,-0.854957948,17.32231564
pMAPK3,pSTAT5A,0.957685969,15.61676702
pFOXO1,pSMAD1,0.883429865,17.68806156
pFOXO1,SOX2,0.882353796,17.6768739
pGSK3A,pSMAD1,0.787144814,16.0901546
pGSK3A,SOX2,0.757330576,15.48960679
pH3F3A,pSMAD1,0.985691169,20.39688162
pH3F3A,SOX2,0.951553073,19.7016326
pIGF1R,pSMAD1,0.958653349,19.26573639
pIGF1R,SOX2,0.904698063,18.19203473
pNFKBIA,SOX2,0.7860856,15.62034132
pMET,pSMAD1,0.923686749,18.5184059
pMET,SOX2,0.896825112,17.99040138
pMTOR,pSMAD1,0.886693472,18.13410611
pMTOR,SOX2,0.854721796,17.49027423
pPKIA,pSMAD1,0.802389528,16.22098846
pPRKCA,pSMAD1,0.798827912,16.53012513
pPTEN,pRPS6,-0.799349251,15.28032653
pPTEN,pSKAP2,0.826979777,15.5339001
pRET,pRPS6,0.88630527,17.76176771
pRPS6KA3,pSMAD1,0.861367954,17.4279596
pRPS6KA3,SOX2,0.952393589,19.28085047
pSGK1,pSMAD1,0.781202296,15.68121832
pSGK1,SOX2,0.820054357,16.47072905
pSMAD1,pSTAT3,0.797246286,16.22347683
pSMAD1,pTSC2,0.862838379,17.85469205
pSMAD1,SOX2,0.942340102,19.49981912
