Node1,Node2,Correlation,Score
BAX,pRPS6KA1,0.648897562,7.748354413
BAX,pAKT1S1,0.901369507,8.190567137
BAX,pMAPK8,0.539371141,6.380546082
BCL2L11,pAKT1S1,0.921988158,7.672575775
BCL2L11,pMAPK8,0.594302673,6.949322536
CASP7,pCDC25A,-0.53083759,6.418477443
CASP9,pRPS6KA1,0.699145553,8.047120899
CASP9,pMAPK8,0.719368275,8.363269809
EGFR,pRPS6KA1,0.844610914,9.620757242
EGFR,pMAPK8,0.88187637,10.20454674
ERBB4,pMAPK8,0.568342882,7.025442193
HMOX1,pRPS6KA1,0.84917138,11.06983341
HMOX1,pAKT1S1,0.817763295,6.897879599
HMOX1,pMAPK8,0.742096803,9.568329818
HMOX1,pSRC,0.944081098,7.873184234
MKI67,pMAPK8,0.750029405,8.56921546
CDKN1A,pCDC25A,0.811120485,12.19271321
CDKN1A,pAKT1S1,0.845615265,7.453220379
CDKN1B,pCDC25A,0.530662169,6.651404608
CDKN1B,pAKT1S1,0.906324118,7.838884315
pEIF4EBP1,pRPS6KA1,-0.579880502,6.717768909
pEIF4EBP1,pCREB1,0.938554223,6.543168481
pEIF4EBP1,pMAPK8,0.896211049,10.63250076
pACACA,pRPS6KA1,0.662439324,7.72831498
pACACA,pMAPK8,0.776615431,8.912602111
pADD1,pCDC25A,-0.673431541,9.499300468
pPRKAA1,pAKT1S1,0.821790997,6.401325662
pCDC25A,pBAD,0.509426919,7.883723261
pCDC25A,pMAPK3,0.907109981,11.5055533
pCDC25A,pFOXO3,-0.649844987,8.005948947
pCDC25A,pGSK3A,0.871708137,11.66122786
pCDC25A,pIGF1R,-0.817152462,11.17258947
pCDC25A,pMAPK14,-0.697684171,9.841000845
pCDC25A,pRPS6KB1,0.890267404,12.80905357
pCDC25A,pPKIA,0.553567575,6.655086617
pCDC25A,pSGK1,0.62622231,7.381828697
pCDC25A,pSMAD1,-0.941275923,11.8294842
pCDC25A,pSTAT3,0.607761075,7.753875692
pCDC25A,pTSC2,0.747894011,9.23654874
pBAD,pCREB1,0.986422161,7.295298152
pBAD,pRPS6KA1,0.751504966,9.064353109
pBAD,pMAPK8,0.789720835,9.457673161
pBAD,pAKT1S1,0.954440491,8.423636001
pBAD,pMAPK8,0.483843064,7.908202406
pBRAF,pMAPK8,0.964667935,11.83989053
pRAF1,pMAPK14,0.884504078,7.049147463
pCREB1,pRPS6KA1,0.681002539,10.74317021
pCREB1,pAKT1S1,0.856110587,7.836199836
pCREB1,pSRC,0.916942165,7.421081471
pEGFR,pMAPK8,-0.563288968,6.477987839
pMAPK3,pGSK3A,0.929473827,6.574893566
pMAPK3,pRPS6KA1,-0.719972912,8.265822819
pMAPK3,pSMAD1,-0.971990714,6.418333405
pFOXO3,pMAPK8,-0.659387324,7.592663019
pGSK3A,pSMAD1,-0.942850439,6.38074445
pIGF1R,pMAPK14,0.924747697,6.388377691
pMTOR,pRPS6KA1,0.998174671,11.20532371
pMTOR,pMAPK8,0.663422154,7.529399284
pRPS6KB1,pAKT1S1,0.777150781,7.819374989
pRPS6KA1,pSMAD1,0.611436091,7.028288694
pRPS6KA1,pSRC,0.887270518,10.05031714
pRPS6KA1,SOX2,0.716291257,8.178369972
pPRKCA,pMAPK8,0.797722099,9.187167726
pAKT1S1,pPTEN,0.941910169,6.939685483
pAKT1S1,pSTAT3,0.813425651,6.418923899
pMAPK8,pSRC,0.901091485,10.27660224
pMAPK8,pTSC2,0.576713106,6.641020824
