Node1,Node2,Correlation,Score
BCL2L11,pEIF4EBP1,0.828689414,11.08363465
BCL2L11,pNFKB1,0.933444938,15.32650692
BCL2L11,pRPS6KB1,0.759400004,11.26790483
BCL2L11,pSMAD1,0.919045332,16.04900604
CASP6,pRPS6KB1,0.882404364,12.22360678
CASP6,pSMAD1,0.897540202,11.32927409
CASP7,pRPS6KB1,0.859300523,12.08386693
CASP7,pSMAD1,0.888441647,11.80872666
CASP9,pRPS6KB1,0.80155151,11.58582396
CASP9,pSMAD1,0.911460196,11.85677253
EGFR,pNFKB1,-0.971469636,11.39498588
EGFR,pRPS6KB1,-0.801859408,11.43308777
EGFR,pSMAD1,-0.982946043,13.69847944
ERBB3,pSMAD1,0.982361603,12.79895606
ERBB4,pRPS6KB1,-0.899452792,13.33285196
ERBB4,pSMAD1,-0.98326352,12.2162151
HMOX1,pEIF4EBP1,0.978067192,17.30219316
HMOX1,pACACA,0.992091806,14.64067655
HMOX1,pPRKAA1,0.992462238,12.12562689
HMOX1,pCREB1,0.9110171,11.78828999
HMOX1,pGSK3A,0.955049271,11.96977771
HMOX1,pNFKB1,0.978833291,19.30743848
HMOX1,pRPS6KB1,0.751143391,10.98917078
HMOX1,pAKT1S1,0.971630319,11.1938742
HMOX1,pSMAD1,0.977394297,18.7513474
HMOX1,pSRC,0.980810692,14.42061433
HMOX1,pSTAT5A,0.920595872,11.13375635
MKI67,pRPS6KB1,0.823878455,12.82230236
MKI67,pSMAD1,0.983540015,13.19378153
CDKN1A,pEIF4EBP1,0.844669437,14.68488003
CDKN1A,pNFKB1,0.946729709,18.4760846
CDKN1A,pSMAD1,0.894777839,15.74955916
pEIF4EBP1,pBAD,0.990531413,18.00556068
pEIF4EBP1,pBRAF,0.861279664,15.8997769
pEIF4EBP1,pRPS6KB1,0.835228536,16.57651713
pEIF4EBP1,pSMAD1,0.968921519,13.05988834
pACACA,pBAD,0.956882176,12.2820931
pACACA,pBRAF,0.952091947,11.14267369
pACACA,pRPS6KB1,0.782943197,15.53222383
pACACA,pSMAD1,0.978532529,13.2951995
pADD1,pRPS6KB1,0.777551119,13.7047514
pADD1,pSMAD1,0.983152732,12.75876382
pPRKAA1,pRPS6KB1,0.82101289,16.18254553
pPRKAA1,pSMAD1,0.986515974,12.24769886
pPRKAB1,pRPS6KB1,0.81056494,14.06535225
pPRKAB1,pSMAD1,0.99085245,12.67671872
pCDC25A,pNFKB1,0.942379267,13.47329754
pBAD,pNFKB1,0.902231741,12.29177166
pBAD,pRPS6KB1,0.91352505,18.09033457
pBAD,pSMAD1,0.967193142,12.39060598
pBAD,pNFKB1,0.89619432,17.51670444
pBAD,pRPS6KB1,0.899117852,13.80581205
pBAD,pSMAD1,0.974667087,16.33006923
pBCL2,pSMAD1,0.891015539,11.95270573
pBRAF,pNFKB1,0.939216242,18.27775254
pBRAF,pRPS6KB1,0.796759184,13.32395338
pBRAF,pSMAD1,0.931758555,15.77697369
pABL1,pSMAD1,0.939889565,11.59084119
pKIT,pSMAD1,0.808858788,11.52137589
pKIT,pSMAD1,0.859548653,12.10543418
pRAF1,pRPS6KB1,0.691757199,11.20092879
pRAF1,pSMAD1,0.941482329,11.6193539
pCREB1,pRPS6KB1,0.892277452,17.65272213
pCREB1,pSMAD1,0.960977642,11.78938244
pEGFR,pRPS6KB1,0.972907474,13.70469897
pEGFR,pSMAD1,0.904977119,12.23028216
pERBB2,pRPS6KB1,-0.911694888,12.43511556
pERBB3,pRPS6KB1,0.771557924,13.70215115
pERBB3,pSMAD1,0.90795357,12.00243239
pFOXO1,pSMAD1,0.994284629,11.79263916
pFOXO3,pNFKB1,0.959702317,11.1829721
pFOXO3,pSMAD1,0.886672076,11.82290298
pGSK3A,pSMAD1,0.984089765,12.14171838
pH3F3A,pRPS6KB1,0.783041772,11.0431657
pH3F3A,pSMAD1,0.990329456,13.84560252
pMTOR,pRPS6KB1,-0.821172201,14.03925368
pMTOR,pSMAD1,-0.982684635,12.167111
pNFKB1,pAKT1S1,0.984118434,11.75541934
pNFKB1,pRPS6KA3,0.926406202,16.50812509
pNFKB1,pRPS6,0.985497946,11.4255912
pNFKB1,pSMAD1,0.952898556,13.73314407
pNFKB1,pSRC,0.945008266,11.11432493
pMAPK14,pRPS6KB1,0.955714171,13.59400091
pRPS6KB1,pRPS6KA1,0.830899221,13.53849285
pRPS6KB1,pPKIA,0.824432149,11.71223724
pRPS6KB1,pAKT1S1,0.757049016,14.19172032
pRPS6KB1,pASAP2,0.88333585,13.2810783
pRPS6KB1,pRPS6,0.758896549,11.44837466
pRPS6KB1,pSMAD1,0.828571873,16.57619537
pRPS6KB1,pSRC,0.864142596,17.1714153
pRPS6KB1,pSTAT3,0.786918347,12.28104225
pRPS6KB1,pSTAT5A,0.720048058,14.20060464
pRPS6KB1,pTSC2,0.795023203,11.25413989
pRPS6KA1,pSMAD1,0.946719978,12.07649004
pPKIA,pSMAD1,0.908309985,12.85375116
pAKT1S1,pSMAD1,0.982781038,12.23098189
pPTEN,pSMAD1,0.986370695,12.60492916
pRPS6KA3,pSMAD1,0.988737002,13.6505559
pRPS6,pSMAD1,0.957822687,12.29062492
pMAPK8,pSMAD1,0.969943589,11.76616668
pSMAD1,pSRC,0.986313867,12.20978347
pSMAD1,pSTAT3,0.869436007,11.60955394
pSMAD1,pSTAT5A,0.957376694,12.120727
