Node1,Node2,Correlation,Score
BCL2L11,pEIF4EBP1,0.808933158,16.54747436
BCL2L11,pCDC25A,0.842075311,12.31860651
BCL2L11,pBRAF,0.978645256,11.51671983
BCL2L11,pCREB1,0.963972023,13.10014616
BCL2L11,pFADD,0.884012774,13.34480123
BCL2L11,pAKT1S1,0.966063363,14.94637854
BCL2L11,pRPS6,0.917405721,11.10981204
BCL2L11,BIRC5,0.708336443,12.86404495
CASP6,pEIF4EBP1,0.837203732,16.92378976
CASP9,pEIF4EBP1,0.92938149,16.91774659
CASP9,pMAPK8,0.967654531,13.52235055
EGFR,pEIF4EBP1,-0.909751748,16.49378609
EGFR,pMAPK8,-0.897800191,12.3190182
ERBB4,pEIF4EBP1,-0.941284603,16.94023215
ERBB4,pCDC25A,-0.941895678,10.79772961
ERBB4,pMAPK8,-0.825143666,12.35693574
HMOX1,pEIF4EBP1,0.986344247,20.22311672
HMOX1,pCDC25A,0.967096134,11.49387779
HMOX1,pMAPK8,0.883829187,12.978359
MKI67,pEIF4EBP1,0.93496751,17.24215203
MKI67,pCDC25A,0.962058252,11.06067073
CDKN1A,pEIF4EBP1,0.819949097,16.63991774
CDKN1A,pCDC25A,0.875639827,17.75518158
pEIF4EBP1,pACACA,0.904155649,16.27295001
pEIF4EBP1,pADD1,0.993606044,19.94021581
pEIF4EBP1,pPRKAA1,0.973044649,18.73147604
pEIF4EBP1,pPRKAB1,0.955127807,19.16801404
pEIF4EBP1,pCDC25A,0.989976904,18.10705561
pEIF4EBP1,pBAD,0.901194696,18.33272521
pEIF4EBP1,pBAD,0.988268331,20.08537346
pEIF4EBP1,pBRAF,0.858654965,17.37814168
pEIF4EBP1,pRAF1,0.951542117,19.29028326
pEIF4EBP1,pCREB1,0.898523008,16.73484333
pEIF4EBP1,pEGFR,0.857164114,15.50798205
pEIF4EBP1,pERBB3,0.812556173,16.41531833
pEIF4EBP1,pMAPK3,0.90402806,16.7283718
pEIF4EBP1,pFOXO3,0.892502601,16.19688228
pEIF4EBP1,pGSK3A,0.9968446,20.27850164
pEIF4EBP1,pH3F3A,0.982334008,17.86268943
pEIF4EBP1,pMTOR,-0.939187491,16.87048325
pEIF4EBP1,pNFKB1,0.940611097,18.89270671
pEIF4EBP1,pMAPK14,0.832243469,15.97000902
pEIF4EBP1,pRPS6KB1,0.953557121,19.37990958
pEIF4EBP1,pRPS6KA1,0.935570174,18.82156793
pEIF4EBP1,pPKIA,0.82435777,15.79630634
pEIF4EBP1,pAKT1S1,0.896404249,17.1302187
pEIF4EBP1,pPTEN,0.867124542,15.88299604
pEIF4EBP1,pRET,0.692649527,13.20781045
pEIF4EBP1,pRPS6KA3,0.970654922,19.57030067
pEIF4EBP1,pRPS6,0.953255611,17.24154999
pEIF4EBP1,pMAPK8,0.853208844,17.22552469
pEIF4EBP1,pSMAD1,0.958732735,17.74064142
pEIF4EBP1,pSRC,0.92197804,18.81845302
pEIF4EBP1,pSTAT3,0.725429732,13.98095558
pEIF4EBP1,pSTAT5A,0.887788156,17.1002716
pEIF4EBP1,pKDR,0.71670662,12.88038125
pACACA,pMAPK8,0.816377083,12.97075934
pADD1,pCDC25A,0.972686424,12.04757199
pPRKAA1,pCDC25A,0.951219224,10.75755638
pCDC25A,pBAD,0.997278544,12.41506259
pCDC25A,pRAF1,0.901476398,13.38658639
pCDC25A,pGSK3A,0.98510635,11.2232054
pCDC25A,pH3F3A,0.98246616,11.50955284
pCDC25A,pMTOR,-0.9320325,11.15583459
pCDC25A,pNFKB1,0.934010397,11.68581343
pCDC25A,pRPS6KB1,0.941721032,10.808485
pCDC25A,pAKT1S1,0.932073435,10.93153999
pCDC25A,pRPS6,0.94014909,10.97932178
pCDC25A,pMAPK8,0.77523256,15.63804835
pCDC25A,pSMAD1,0.91852602,11.12656731
pCDC25A,pSRC,0.86975869,11.06824303
pBAD,pMAPK8,0.875140439,16.75474011
pBAD,pMAPK8,0.788198884,15.86353999
pBRAF,pMAPK8,0.724458406,14.51909219
pEGFR,pMAPK8,0.940504957,13.07242058
pMAPK3,pMAPK8,0.883660969,16.56520128
pFOXO3,pMAPK8,0.987331808,13.55593528
pGSK3A,pMAPK8,0.867489986,13.88011403
pH3F3A,pMAPK8,0.821022383,11.55590846
pMTOR,pMAPK8,-0.852196578,12.3464427
pMAPK14,pMAPK8,0.99255266,13.93003883
pAKT1S1,pMAPK8,0.638306747,11.76738604
pRPS6,pMAPK8,0.867247422,13.94240184
pMAPK8,pSMAD1,0.953699697,16.4206404
pMAPK8,pSRC,0.957230453,13.54927611
