Node1,Node2,Correlation,Score
BCL2L11,MKI67,0.825995531,11.38971906
BCL2L11,CDKN1B,0.92646718,10.3383
BCL2L11,pEIF4EBP1,0.605691782,10.95361106
BCL2L11,pKIT,0.959700191,12.48578702
BCL2L11,pCREB1,0.833438816,13.74371667
BCL2L11,pFADD,0.850480227,14.4468195
BCL2L11,pNFKB1,0.77210175,15.24640842
BCL2L11,pRPS6KB1,0.860509929,11.30238109
BCL2L11,pPKIA,0.993631153,10.2947291
BCL2L11,pAKT1S1,0.951250395,10.31606332
BCL2L11,pASAP2,0.986987493,9.836883321
BCL2L11,pRET,0.954379637,12.19181197
BCL2L11,pRPS6,0.881300105,10.25624714
BCL2L11,pSMAD1,0.745393921,11.59225923
BCL2L11,pSTAT3,0.952326059,9.603594787
CASP7,CDKN1A,0.55108323,10.91195875
CASP9,pNFKB1,0.936325701,9.58955459
EGFR,pMAPK3,-0.822070806,9.611501026
EGFR,pNFKB1,-0.975789895,9.763951015
ERBB4,CDKN1A,-0.527922585,10.52404196
HMOX1,CDKN1A,0.51086478,10.23975574
HMOX1,pEIF4EBP1,0.963232433,9.678940611
HMOX1,pMAPK3,0.834198379,10.0854659
HMOX1,pNFKB1,0.945840931,11.57528276
CDKN1A,pCDC25A,0.71276868,14.16848199
CDKN1A,pRAF1,0.608105015,12.05532191
CDKN1A,pEGFR,0.665653341,13.33300595
CDKN1A,pMAPK3,0.625105806,12.57693231
CDKN1A,pFOXO3,0.75860641,15.26292249
CDKN1A,pH3F3A,0.477952751,9.61625911
CDKN1A,pMAPK14,0.526181249,10.5467585
CDKN1A,pRPS6KA1,0.786711383,15.43908158
CDKN1A,pMAPK8,0.52155941,10.27838297
CDKN1A,pSMAD1,0.492604518,9.90526565
pEIF4EBP1,pPRKAA1,0.964112966,9.807235495
pEIF4EBP1,pPRKAB1,0.915643202,10.87735972
pEIF4EBP1,pBAD,0.929501782,12.08486492
pEIF4EBP1,pBAD,0.99002579,12.05517456
pEIF4EBP1,pRAF1,0.970537987,15.91237127
pEIF4EBP1,pERBB3,0.816378117,10.16121177
pEIF4EBP1,pMAPK3,0.904602593,17.37729123
pEIF4EBP1,pNFKB1,0.955442131,9.59417483
pEIF4EBP1,pRPS6KA1,0.887184766,16.33660454
pEIF4EBP1,pRPS6KA3,0.964167093,16.6978416
pEIF4EBP1,pMAPK8,0.984869373,11.8888097
pEIF4EBP1,pSRC,0.95462246,10.04912876
pADD1,pMAPK3,0.913825861,13.01490228
pCDC25A,pRAF1,0.96855211,11.05076488
pCDC25A,pMAPK3,0.94742661,13.45465587
pBAD,pNFKB1,0.968244947,13.82031572
pBAD,pMAPK3,0.843002475,9.653764613
pBAD,pNFKB1,0.9809236,16.43220091
pBRAF,pNFKB1,0.948421324,12.84693023
pRAF1,pCREB1,0.803856454,10.49754899
pRAF1,pMAPK3,0.960947632,11.6444327
pRAF1,pGSK3A,0.906028269,10.73422803
pRAF1,pSMAD1,0.940176048,10.62064769
pCREB1,pMAPK3,0.635342488,9.857015982
pCREB1,pRPS6KA3,0.976577553,11.65872684
pEGFR,pMAPK3,0.87338866,10.43145144
pMAPK3,pFOXO3,0.94670219,10.9533939
pMAPK3,pGSK3A,0.798830786,11.5552279
pMAPK3,pH3F3A,0.864492264,10.26577163
pMAPK3,pSTK11,0.915579731,9.89719406
pMAPK3,pNFKB1,0.740487647,14.69930205
pMAPK3,pMAPK14,0.868365319,10.54294722
pMAPK3,pRPS6KA1,0.959117475,11.70152021
pMAPK3,pPLK1,0.781462055,10.81320746
pMAPK3,pMAPK8,0.88039904,9.931793195
pMAPK3,pSMAD1,0.813298498,11.43060331
pMAPK3,pSKAP2,0.980991281,10.89140835
pH3F3A,pNFKB1,0.970265832,9.691007183
pNFKB1,pMAPK14,0.961397211,9.98016891
pNFKB1,pAKT1S1,0.825877096,11.20177706
pNFKB1,pRPS6KA3,0.992068712,19.23695878
pNFKB1,pSMAD1,0.96472036,9.629282793
pRPS6KA1,pSMAD1,0.861829147,11.53356847
pRPS6KA3,pSMAD1,0.98966207,10.14975499
pRPS6KA3,pSTAT5A,0.936374241,11.29172616
